id,title,description,link,image_link,price,availability,condition,brand,google_product_category,identifier_exists
STQ-4468685055,"Vintage Walnut Mid-Century Nightstands Pair, Brass Ring Pulls, Retro Bedroom Furniture","Typical of the refined domestic aesthetic of 1950s–1960s mid-century design, this charming pair of bedside tables brings warmth and elegance to any bedroom. Crafted in warm walnut-toned wood with elegant darker border framing, these two matching nightstands arrive in very good vintage condition. Each piece features one drawer and one cabinet door, both fitted with brass-tone ring pulls and decorative carved-style border detail on the panels. Sturdy bracket feet with a classic retro profile complete the look, while the warm two-tone wood finish adds genuine character to the space. Minor age-related wear is consistent with their vintage origin — overall, these nightstands are beautifully well preserved and ready to style. Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4468685055,https://i.etsystatic.com/60918070/r/il/a50756/8471688055/il_fullxfull.8471688055_on39.jpg,475.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Sculptures & Statues,false
STQ-4556706605,BMF Nagel Style Chrome Candlestick Set – 1970s Space Age Mid Century Modern Holder,"Stunning set of modular chrome candleholders in the iconic Nagel / BMF style, a true classic of 1970s Space Age and Mid-Century Modern design. ✦ Three-arm chrome candlestick set with characteristic ball joints and geometric star connector ✦ Polished chrome-plated metal in excellent vintage condition ✦ Comes with its original cardboard box (""Candlestick"" printed on side) ✦ Bold retro aesthetic — perfect for Bauhaus, Space Age or 70s interior styling ✦ A collectible statement piece for any modernist home or shelf display Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556706605,https://i.etsystatic.com/60918070/r/il/c460ae/8423614596/il_fullxfull.8423614596_mjg0.jpg,69.89 EUR,in stock,used,Stantique25,Home & Garden > Decor > Candle Holders & Accessories,false
STQ-4493281827,Vintage Lausitz Vase – Light Blue Art Deco Mouth-Blown 1960s German Art Glass,"Typical of the refined aesthetic that defined 1960s–1970s East German art glass, this mouth-blown vase by Lausitzer Glas captivates with its pleasing light blue tone and Art Deco-inspired lines. The rounded form, narrow neck, and stable round base reflect the distinctive design vocabulary of Lausitz glassmaking at its finest — elegant in proportion and confident in craft. A timeless piece for collectors or lovers of vintage European art glass. Condition: light typical age and use marks; possibly fine contact marks. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4493281827,https://i.etsystatic.com/60918070/r/il/c69853/7942651156/il_fullxfull.7942651156_pb37.jpg,55.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Vases,false
STQ-4428841142,Cake Server & Sugar Tongs Gold Gilded Serving Set 2pc – Vintage Cutlery Elegant Tableware,"Typical of the ornate gilt tableware popular in formal European dining, this elegant 2-piece serving set brings timeless table presence to any dessert or coffee service. It comprises one cake server and one sugar tongs, both finished in a warm gold-colored gilt that catches the light beautifully. The decorative ornamental handles on each piece add a refined, ceremonial touch — perfectly suited to a formal coffee table or dessert service. Condition is consistent with light typical use; please examine the photos carefully for full details on the finish. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4428841142,https://i.etsystatic.com/60918070/r/il/212ed3/7531002874/il_fullxfull.7531002874_jylo.jpg,25.00 EUR,in stock,used,Stantique25,Furniture,false
STQ-4428833119,Cigar Cutter Gold with Wood Inlay – Vintage 1960s Retro Gentleman Accessory Collectible,"Typical of the well-dressed gentleman's pocket accessories of the 1960s, this compact cigar cutter pairs gold-colored metal with a warm wooden inlay on the handle for a look that feels both refined and timelessly retro. Handsomely sized for cigars and cigarillos alike, it carries just as naturally in a daily-carry rotation as it does in a curated collector's display. The maker or brand is not clearly identifiable from photos, adding a touch of mystery to its charm. Condition is excellent for its age — light, typical use marks may be present — so please take a close look at the blade and mechanism in the photos before purchasing to ensure it's the right fit for you. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4428833119,https://i.etsystatic.com/60918070/r/il/5d690d/7530995060/il_fullxfull.7530995060_adxk.jpg,35.00 EUR,in stock,used,Stantique25,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,false
STQ-4556706601,"BMF Nagel Stainless Steel Footed Bowl No. 9157, Mid-Century Modern Design (Original Box)","Rare vintage BMF Combi-Schale (model 9157), designed by Curt Peter Stoff for BMF Nagel, a sought-after piece of West German Mid-Century Modern design. ✦ Polished stainless steel footed bowl with clean, minimalist lines ✦ Three sturdy cylindrical legs elevate the shallow round dish ✦ Versatile as a flower frog base, candle holder tray, or decorative bowl ✦ Comes complete with its original red BMF box — extremely rare to find ✦ Well-preserved condition consistent with careful storage; no notable damage ✦ A genuine collector's piece for Mid-Century Modern and German design enthusiasts Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556706601,https://i.etsystatic.com/60918070/r/il/03c886/8422043544/il_fullxfull.8422043544_bdag.jpg,153.78 EUR,in stock,used,Stantique25,Home & Garden > Decor > Candle Holders & Accessories,false
STQ-4371969257,Vintage African Hardwood Figurines Set of 2 – Hand-Carved Tribal Warrior Sculptures Pair Folk Art,"Typical of traditional African tribal woodcarving artistry, this characterful pair of hand-carved hardwood figurines brings noble ethnic appeal to any sideboard or display case. Carved from solid, heavy hardwood with a beautiful dark grain, the sculptures depict proud warriors or elders and harmonize perfectly as a matching set. Genuine African woodcarving craftsmanship shines through every detail, making these a compelling statement in folk art collecting. Condition: attractive used vintage condition with natural wood patina and light, typical age marks befitting their heritage. Please note: one figure had a section of the staff broken and has been professionally and cleanly re-glued. The repair is barely visible when the figure stands upright but is visible on close inspection — please examine all photos carefully before purchasing. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4371969257,https://i.etsystatic.com/60918070/r/il/e51d1b/8162547367/il_fullxfull.8162547367_fyda.jpg,75.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Sculptures & Statues,false
STQ-4421968857,Vintage Plastic Garden Gnome – Retro Outdoor Lawn Decor Collectible,"Typical of mid-century retro garden charm, this small vintage gnome brings nostalgic character to any space. Standing approx. 15 cm tall and made of plastic or rubber, he features the classic look: red hat, white beard, and a garden rake over his shoulder — an instantly recognisable figure perfect for garden or indoor display. Condition is used, with pronounced age and wear marks including paint abrasion, all visible in the photos, giving him that authentic, well-loved patina collectors adore. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4421968857,https://i.etsystatic.com/60918070/r/il/657ce8/7981272959/il_fullxfull.7981272959_qxe3.jpg,25.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4491470688,Vintage Space Age Wall Clock 1970s – Chrome Orange Mid Century Modern Design Retro,"Typical of the bold, optimistic aesthetic of 1970s Space Age design, this original wall clock is an unmistakable icon of its era. The case pairs a high-gloss chrome ring with a vivid orange dial, while the distinctive round cutouts in the chrome surround stand as a classic hallmark of Mid-Century Modern design. Powered by a quartz movement (AA battery not included), it has been tested and runs perfectly. Condition is very clean and well-kept, with only minimal age-related marks on the chrome surface. A must-have for retro style lovers or as a striking statement piece in a modern interior. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4491470688,https://i.etsystatic.com/60918070/r/il/502468/7931041962/il_fullxfull.7931041962_9xr7.jpg,80.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Clocks,false
STQ-4426577378,Mini Boy Vintage Ladies Compact Umbrella Cream Brown – Good Condition Retro Fashion,"Typical of retro fashion accessories, this compact ""Mini Boy"" vintage ladies' folding umbrella is a charming finishing touch for any vintage outfit or collector's display. The cream canopy features a brown feather-like ornamental pattern, giving it a distinctive, elegant character. Its lightweight metal frame and small loop handle make it perfectly sized for a handbag or travel bag. The umbrella is in good condition with no tears or holes in the fabric, and the mechanism opens and closes perfectly — ready to use or to be treasured as a collectible piece. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4426577378,https://i.etsystatic.com/60918070/r/il/71e653/7567764567/il_fullxfull.7567764567_1lae.jpg,20.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4426574082,Baromaster Wall Barometer with Wrought Iron Mount – Vintage Decor Functional Weather Instrument,"Typical of the decorative functional instruments favoured in continental country-house interiors, this ""Baromaster"" wall barometer pairs practical weather-reading with distinctive ornamental style. Housed in a round brass/gold-tone metal case, it sits within a wrought iron mounting graced with gracefully scrolled ornamental details — a combination that immediately draws the eye. The scale reads in mbar/mmHg and features classic German weather designations, remaining clearly legible throughout. The piece is stated to be functional, making it as useful as it is beautiful. Condition is visually very attractive vintage, with only light use marks on the metal and lacquer — exactly the honest patina that adds character rather than detracting from it. Versatile enough to complement rustic, country house, and industrial decor styles equally well, it makes a compelling statement in a hallway, living room, or conservatory. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4426574082,https://i.etsystatic.com/60918070/r/il/36f11a/7519820154/il_fullxfull.7519820154_92pf.jpg,39.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Clocks,false
STQ-4426572344,Poccino Linea Uno Espresso Machine Portafilter 15 Bar – Rare Collector Piece Vintage Coffee,"Typical of the compact household espresso machines produced in Europe before 1990, this Poccino LINEA UNO portafilter espresso machine in black brings authentic vintage character to any kitchen or collector's shelf. Equipped with a 15-bar pump pressure and a steam wand for milk frothing, it delivers a full café experience in a compact form. According to Kaffeewiki, the LINEA UNO was produced until approximately 1990, making this a genuine vintage appliance. The seller has regularly maintained the machine with water flushing and fully tested it — both espresso and steam function perfectly. Condition is very clean overall, with only light, typical use marks consistent with its age. Whether you're looking to equip a home kitchen, create a café-style office setup, or add a rare piece to your espresso machine collection, this LINEA UNO is a standout find. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution. Electrical items must be checked and connected by a qualified person before use. For indoor dry use only.",https://zicopeta53.github.io/go.html?id=4426572344,https://i.etsystatic.com/60918070/r/il/0768af/8249778740/il_fullxfull.8249778740_7k3x.jpg,500.00 EUR,in stock,used,Stantique25,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,false
STQ-4426570678,Vintage Barometer Weather Station – Reddish Leatherette 3-Piece Gothic Look Retro Decor,"Typical of mid-century gothic-inflected decorative instrument sets, this vintage weather station brings a touch of dark romance to any wall. Three round-housed instruments — a barometer, thermometer, and likely hygrometer — are mounted side by side on a reddish-brown leatherette panel, their riveted metal rims lending the piece its distinctly gothic flair. The barometer is stated to function well, and the remaining gauges appear intact. Condition is clean and well-kept, with only the light, expected wear on the leatherette and metal rims that comes with a vintage piece of character. A striking and cohesive wall display for a home office, hallway, or hobby room. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4426570678,https://i.etsystatic.com/60918070/r/il/0a3cee/7567738729/il_fullxfull.7567738729_k1vv.jpg,60.00 EUR,in stock,used,Stantique25,Home & Garden > Decor > Clocks,false
STQ-4556721668,Vintage Hand Carved Wooden Jewelry Box: Floral Relief Folk Art Storage Compartments,"Typical of folk art woodworking traditions, this hand-carved piece brings warmth and artisan charm to any home interior. A beautifully crafted wooden box featuring intricate hand-carved floral and leaf relief decoration across the entire lid, surrounding a smooth oval centre medallion. ✦ Hand-carved floral and foliate relief on the lid — fine folk art craftsmanship ✦ Two interior storage compartments — ideal for jewellery, coins, keepsakes or cash ✦ Warm honey-brown wood tone with visible natural grain ✦ Stepped/ribbed sides add a classic, elegant profile ✦ Makes a wonderful gift or display piece for the home ✦ Good vintage condition — please review all photos carefully Photos are part of the description and show measurements and details. Please examine them carefully - they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP - I cover all import duties and customs fees, none for you). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged - we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4556721668,https://i.etsystatic.com/60918070/r/il/5d4735/8450465521/il_fullxfull.8450465521_fji3.jpg,43.75 EUR,in stock,used,Stantique25,Home & Garden > Decor > Sculptures & Statues,false
STQ-4426159497,Brass Decorative Dish with Handle – Pierced Pattern Aged Patina Vintage Antique Decor Bowl,"Typical of the decorative brass pieces that graced Victorian and Edwardian sideboards, this small solid brass dish with its pierced lattice-pattern handle brings effortless vintage character to any space. Perfect as a catch-all for jewelry, keys, coins, or small items, it sits beautifully on a dresser, sideboard, or shelf. The interior carries visible patina and tarnish marks earned through age and use — an honest, lived-in charm that suits vintage, boho, and classic interiors alike. Condition: used with typical wear. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4426159497,https://i.etsystatic.com/60918070/r/il/6149be/7565625849/il_fullxfull.7565625849_gwox.jpg,20.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
STQ-4441263437,Vintage Vinyl Record Holder Black 32cm – Retro LP Stand Organizer Music Decor,"Typical of the Space Age design movement, this original 1970s vinyl record holder brings an effortlessly cool, purist aesthetic to any music lover's space. Crafted from high-quality smoked brown-tinted acrylic, its timeless silhouette lets your vinyl collection speak for itself — whether displayed on a wall or organized neatly on a shelf. Pre-drilled holes make it ready for both standing and hanging use straight away. A genuine must-have for vinyl enthusiasts and collectors of authentic 70s design. Condition: very good vintage, with only minimal surface scratches that do not detract from the overall appearance. Photos are part of the description and show measurements and details. Please examine them carefully — they reflect the item's condition. Shipping: All orders via DHL insured, double-boxed with protective padding. Germany: free. USA: free (DDP — no import duties or customs fees). Returns accepted within 30 days; contact us within 48 hours with photos if anything arrives damaged — we always find a fair solution.",https://zicopeta53.github.io/go.html?id=4441263437,https://i.etsystatic.com/60918070/r/il/a3da74/7969523905/il_fullxfull.7969523905_ppn7.jpg,25.00 EUR,in stock,used,Stantique25,Home & Garden > Decor,false
